ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2026-02-20,78.05653104493437,-10.450307934513754,191.82021592756792,77.98148584733603,78.12353320937866,12.794773152982575,12.794773152982575,12.794773152982575,3.855459621321336,3.855459621321336,3.855459621321336,8.939313531661238,8.939313531661238,8.939313531661238,0.0,0.0,0.0,90.85130419791695
2026-02-21,77.88957690659785,-62.53943159137101,137.623300289756,77.81407846337787,77.95714179752147,-39.735587085250714,-39.735587085250714,-39.735587085250714,-45.933417239121994,-45.933417239121994,-45.933417239121994,6.197830153871285,6.197830153871285,6.197830153871285,0.0,0.0,0.0,38.15398982134714
2026-02-22,77.72262276826137,-37.793632993012025,159.8805553288859,77.64668044052843,77.79067718147147,-20.088145606019815,-20.088145606019815,-20.088145606019815,-23.680738786804383,-23.680738786804383,-23.680738786804383,3.592593180784569,3.592593180784569,3.592593180784569,0.0,0.0,0.0,57.63447716224156
2026-02-23,77.55566862992487,3.4008999878243786,205.91387834236966,77.47937529373466,77.62419961457408,26.58609881596904,26.58609881596904,26.58609881596904,25.401240299265968,25.401240299265968,25.401240299265968,1.184858516703073,1.184858516703073,1.184858516703073,0.0,0.0,0.0,104.1417674458939
2026-02-24,77.38871449158835,-10.164562265357212,194.3241708598684,77.31181583465789,77.45769108565004,13.859676157690526,13.859676157690526,13.859676157690526,14.82047045968411,14.82047045968411,14.82047045968411,-0.960794301993583,-0.960794301993583,-0.960794301993583,0.0,0.0,0.0,91.24839064927887
2026-02-25,77.22176035325187,-28.659769051093836,184.4962524202765,77.14421176740697,77.29121482264529,1.339864452163514,1.339864452163514,1.339864452163514,4.117967888527381,4.117967888527381,4.117967888527381,-2.7781034363638675,-2.7781034363638675,-2.7781034363638675,0.0,0.0,0.0,78.56162480541538
2026-02-26,77.05480621491537,-6.6432100259182185,194.35586975813507,76.97677474957725,77.12495243474893,17.218101716069125,17.218101716069125,17.218101716069125,21.41901775720145,21.41901775720145,21.41901775720145,-4.200916041132323,-4.200916041132323,-4.200916041132323,0.0,0.0,0.0,94.2729079309845
2026-02-27,76.88785207657887,-31.180132296936282,171.8074987233119,76.80921860497448,76.95856461768948,-1.309620894812959,-1.309620894812959,-1.309620894812959,3.855459621288334,3.855459621288334,3.855459621288334,-5.165080516101293,-5.165080516101293,-5.165080516101293,0.0,0.0,0.0,75.5782311817659
2026-02-28,76.72089793824237,-71.76287797054563,130.81831665533926,76.64170238945141,76.79218748827445,-51.54380392202222,-51.54380392202222,-51.54380392202222,-45.9334172391362,-45.9334172391362,-45.9334172391362,-5.610386682886025,-5.610386682886025,-5.610386682886025,0.0,0.0,0.0,25.177094016220153
2026-03-01,76.55394379990588,-54.371501395054814,149.99694861245783,76.47419190304859,76.62576762208649,-29.16323712517506,-29.16323712517506,-29.16323712517506,-23.680738786990382,-23.680738786990382,-23.680738786990382,-5.482498338184675,-5.482498338184675,-5.482498338184675,0.0,0.0,0.0,47.39070667473082
