Код клиента,RFM_Segment
6626284.0,Лояльные
157307421.0,Лояльные
155381519.0,Риск ухода
9771132.0,Риск ухода
6809469.0,Лояльные
156172434.0,Риск ухода
156791768.0,Лояльные
6103856.0,Лояльные
6221221.0,Риск ухода
156995257.0,Риск ухода
8751227.0,Лояльные
4487010.0,Лояльные
7068650.0,Риск ухода
7275987.0,Риск ухода
156932757.0,Лояльные
6369197.0,Риск ухода
5384725.0,Риск ухода
8047880.0,Риск ухода
157324545.0,Риск ухода
155902190.0,Риск ухода
156678025.0,Риск ухода
7436971.0,Риск ухода
156163784.0,Риск ухода
1958306.0,Риск ухода
8550030.0,Риск ухода
157444438.0,Лояльные
156329942.0,Риск ухода
155382949.0,Риск ухода
155636570.0,Риск ухода
155908460.0,Риск ухода
156316384.0,Риск ухода
4754603.0,Риск ухода
5517055.0,Риск ухода
156469881.0,Риск ухода
157322212.0,Лояльные
9592746.0,Риск ухода
7533768.0,Риск ухода
6744857.0,Риск ухода
155080277.0,Риск ухода
156027145.0,Риск ухода
155499206.0,Риск ухода
155327014.0,Лояльные
156142640.0,Риск ухода
5766869.0,Лояльные
1385341.0,Риск ухода
6754678.0,Риск ухода
155466453.0,Риск ухода
8357190.0,Риск ухода
155099176.0,Лояльные
3774369.0,Риск ухода
155383072.0,Риск ухода
156575232.0,Риск ухода
7040932.0,Риск ухода
9578651.0,Лояльные
9248513.0,Риск ухода
157128298.0,Риск ухода
7033676.0,Риск ухода
2430559.0,Риск ухода
10449574.0,Лояльные
156968775.0,Риск ухода
10389620.0,Риск ухода
5476751.0,Лояльные
156027184.0,Риск ухода
6487621.0,Риск ухода
157293302.0,Риск ухода
9837376.0,Риск ухода
156490329.0,Риск ухода
155598332.0,Риск ухода
155503548.0,Риск ухода
155253282.0,Лояльные
155128328.0,Риск ухода
4947327.0,Риск ухода
156802112.0,Риск ухода
8589647.0,Риск ухода
4666758.0,Риск ухода
1385159.0,Лояльные
155389332.0,Риск ухода
6746747.0,Риск ухода
5581849.0,Риск ухода
157367530.0,Лояльные
4861710.0,Риск ухода
155678114.0,Риск ухода
6748440.0,Лояльные
8622977.0,Лояльные
157325741.0,Риск ухода
155439587.0,Риск ухода
5494009.0,Риск ухода
10323192.0,Лояльные
4854136.0,Риск ухода
2513414.0,Риск ухода
156848195.0,Риск ухода
1516856.0,Риск ухода
3032795.0,Риск ухода
155409530.0,Риск ухода
7825102.0,Риск ухода
5471875.0,Риск ухода
156130168.0,Риск ухода
5198422.0,Риск ухода
156878206.0,Риск ухода
7850093.0,Риск ухода
156433230.0,Риск ухода
155195957.0,Лояльные
7863572.0,Риск ухода
155181971.0,Риск ухода
8825246.0,Риск ухода
8594185.0,Лояльные
8539146.0,Риск ухода
155545696.0,Лояльные
7744495.0,Риск ухода
8173419.0,Риск ухода
8302470.0,Риск ухода
155317836.0,Риск ухода
155268666.0,Риск ухода
155278258.0,Риск ухода
155385232.0,Лояльные
155455851.0,Риск ухода
8053598.0,Риск ухода
8483799.0,Риск ухода
156962965.0,Риск ухода
156968664.0,Риск ухода
8089291.0,Риск ухода
8171009.0,Риск ухода
155594925.0,Риск ухода
7670590.0,Риск ухода
7691463.0,Лояльные
7340977.0,Риск ухода
7396859.0,Риск ухода
7720089.0,Риск ухода
155811904.0,Лояльные
155975141.0,Риск ухода
7063163.0,Риск ухода
156082679.0,Риск ухода
156125937.0,Риск ухода
156392187.0,Риск ухода
156329850.0,Риск ухода
156342046.0,Риск ухода
156389063.0,Риск ухода
156282159.0,Риск ухода
5672122.0,Риск ухода
6104631.0,Лояльные
156161319.0,Лояльные
6584504.0,Риск ухода
156149823.0,Риск ухода
7260882.0,Риск ухода
7875799.0,Лояльные
156421751.0,Риск ухода
10406130.0,Лояльные
9184149.0,Риск ухода
10404218.0,Риск ухода
5072090.0,Лояльные
156409790.0,Риск ухода
156425859.0,Риск ухода
156458394.0,Риск ухода
4933485.0,Риск ухода
157381098.0,Лояльные
9829593.0,Риск ухода
10179852.0,Риск ухода
156594025.0,Лояльные
10254577.0,Риск ухода
156665326.0,Риск ухода
4636890.0,Риск ухода
156608514.0,Риск ухода
156656591.0,Риск ухода
156652100.0,Риск ухода
156741554.0,Риск ухода
