ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2025-04-01,189.0952526179557,95.99095790092295,314.2121682074465,189.0952526179557,189.0952526179557,11.864933408346864,11.864933408346864,11.864933408346864,11.864933408346864,11.864933408346864,11.864933408346864,0.0,0.0,0.0,200.96018602630258
2025-04-02,189.33706247856182,81.44480742492124,312.71427723620866,189.33706247856182,189.33706247856182,2.7017638338648453,2.7017638338648453,2.7017638338648453,2.7017638338648453,2.7017638338648453,2.7017638338648453,0.0,0.0,0.0,192.03882631242666
2025-04-03,189.57887233916793,103.11631289442083,317.4894170084309,189.57887233916793,189.57887233916793,14.951331833986659,14.951331833986659,14.951331833986659,14.951331833986659,14.951331833986659,14.951331833986659,0.0,0.0,0.0,204.5302041731546
2025-04-04,189.82068219977407,91.98320757627924,305.185990929155,189.82068219977407,189.82068219977407,9.488720609550995,9.488720609550995,9.488720609550995,9.488720609550995,9.488720609550995,9.488720609550995,0.0,0.0,0.0,199.30940280932506
2025-04-05,190.06249206038018,19.103748644105128,251.2197701424407,190.06249206038018,190.06249206038018,-48.71624367932239,-48.71624367932239,-48.71624367932239,-48.71624367932239,-48.71624367932239,-48.71624367932239,0.0,0.0,0.0,141.3462483810578
2025-04-06,190.3043019209863,60.58783740625527,269.07428065295994,190.3043019209863,190.3043019209863,-27.221265987152627,-27.221265987152627,-27.221265987152627,-27.221265987152627,-27.221265987152627,-27.221265987152627,0.0,0.0,0.0,163.08303593383366
2025-04-07,190.5461117815924,108.24470398738823,338.3597788960025,190.5461117815924,190.5461117815924,36.93075998056045,36.93075998056045,36.93075998056045,36.93075998056045,36.93075998056045,36.93075998056045,0.0,0.0,0.0,227.47687176215285
2025-04-08,190.7879216421985,90.58786333436423,307.47481779979216,190.7879216421985,190.7879216421985,11.864933408294894,11.864933408294894,11.864933408294894,11.864933408294894,11.864933408294894,11.864933408294894,0.0,0.0,0.0,202.6528550504934
2025-04-09,191.02973150280462,86.5862641506632,313.69830356338053,191.02973150280462,191.02973150280462,2.701763833873414,2.701763833873414,2.701763833873414,2.701763833873414,2.701763833873414,2.701763833873414,0.0,0.0,0.0,193.73149533667802
2025-04-10,191.27154136341076,96.40836268767688,310.18119347067204,191.27154136341076,191.27154136341076,14.951331833982968,14.951331833982968,14.951331833982968,14.951331833982968,14.951331833982968,14.951331833982968,0.0,0.0,0.0,206.22287319739374
2025-04-11,191.5133512240169,92.43375149086596,318.20376100525993,191.5133512240169,191.5133512240169,9.488720609716202,9.488720609716202,9.488720609716202,9.488720609716202,9.488720609716202,9.488720609716202,0.0,0.0,0.0,201.0020718337331
2025-04-12,191.755161084623,27.79139994492047,263.73656926919784,191.755161084623,191.755161084623,-48.71624367938164,-48.71624367938164,-48.71624367938164,-48.71624367938164,-48.71624367938164,-48.71624367938164,0.0,0.0,0.0,143.03891740524136
2025-04-13,191.99697094522912,56.90926758432579,273.28772932768265,191.99697094522912,191.99697094522912,-27.22126598711686,-27.22126598711686,-27.22126598711686,-27.22126598711686,-27.22126598711686,-27.22126598711686,0.0,0.0,0.0,164.77570495811227
2025-04-14,192.23878080583526,121.15746677695459,345.81491696670673,192.23878080583526,192.23878080583526,36.93075998058895,36.93075998058895,36.93075998058895,36.93075998058895,36.93075998058895,36.93075998058895,0.0,0.0,0.0,229.16954078642422
2025-04-15,192.48059066644137,96.05891647087017,318.17023027264685,192.48059066644137,192.48059066644137,11.86493340828001,11.86493340828001,11.86493340828001,11.86493340828001,11.86493340828001,11.86493340828001,0.0,0.0,0.0,204.34552407472137
2025-04-16,192.72240052704748,80.89451637429609,302.63175902858865,192.72239253777448,192.72240593764346,2.701763833843393,2.701763833843393,2.701763833843393,2.701763833843393,2.701763833843393,2.701763833843393,0.0,0.0,0.0,195.42416436089087
2025-04-17,192.9642103876536,105.74477147799867,318.84622332374914,192.96418956327108,192.9642271914382,14.951331833979275,14.951331833979275,14.951331833979275,14.951331833979275,14.951331833979275,14.951331833979275,0.0,0.0,0.0,207.91554222163288
2025-04-18,193.2060202482597,89.52591480251223,314.9339620205844,193.20598268380436,193.20605192815103,9.488720609667867,9.488720609667867,9.488720609667867,9.488720609667867,9.488720609667867,9.488720609667867,0.0,0.0,0.0,202.69474085792757
2025-04-19,193.44783010886582,40.32428113449119,265.9239645183333,193.4477721998622,193.447878083083,-48.716243679340366,-48.716243679340366,-48.716243679340366,-48.716243679340366,-48.716243679340366,-48.716243679340366,0.0,0.0,0.0,144.73158642952546
2025-04-20,193.68963996947193,52.28115423340964,269.3890514296174,193.68956416092124,193.68970282550663,-27.2212659870811,-27.2212659870811,-27.2212659870811,-27.2212659870811,-27.2212659870811,-27.2212659870811,0.0,0.0,0.0,166.46837398239083
2025-04-21,193.9314498300781,116.83931356249968,338.47837137832636,193.93135123259816,193.93153077949347,36.93075998058022,36.93075998058022,36.93075998058022,36.93075998058022,36.93075998058022,36.93075998058022,0.0,0.0,0.0,230.86220981065833
2025-04-22,194.1732596906842,91.63315736317527,317.26942657278613,194.17313332171963,194.17337226455246,11.864933408407426,11.864933408407426,11.864933408407426,11.864933408407426,11.864933408407426,11.864933408407426,0.0,0.0,0.0,206.03819309909164
2025-04-23,194.41506955129032,73.23031699412434,303.95473127706913,194.4149249947502,194.41520901278165,2.701763833851964,2.701763833851964,2.701763833851964,2.701763833851964,2.701763833851964,2.701763833851964,0.0,0.0,0.0,197.1168333851423
2025-04-24,194.65687941189645,101.80955698905746,319.5268546931144,194.6567074798999,194.65703728301617,14.951331834001019,14.951331834001019,14.951331834001019,14.951331834001019,14.951331834001019,14.951331834001019,0.0,0.0,0.0,209.60821124589748
2025-04-25,194.89868927250257,91.46652012806705,314.51660231956873,194.89848594158488,194.89887221394287,9.488720609619529,9.488720609619529,9.488720609619529,9.488720609619529,9.488720609619529,9.488720609619529,0.0,0.0,0.0,204.38740988212209
2025-04-26,195.14049913310868,38.50724121847562,260.2787406380014,195.14025962836226,195.14070876098953,-48.716243679399625,-48.716243679399625,-48.716243679399625,-48.716243679399625,-48.716243679399625,-48.716243679399625,0.0,0.0,0.0,146.42425545370907
2025-04-27,195.3823089937148,61.86434391986024,281.1260876469999,195.38203586873925,195.38256087576235,-27.221265987303173,-27.221265987303173,-27.221265987303173,-27.221265987303173,-27.221265987303173,-27.221265987303173,0.0,0.0,0.0,168.1610430064116
2025-04-28,195.6241188543209,119.38263356984037,342.8922349956234,195.62382412278242,195.62440368760062,36.93075998057148,36.93075998057148,36.93075998057148,36.93075998057148,36.93075998057148,36.93075998057148,0.0,0.0,0.0,232.55487883489238
2025-04-29,195.865928714927,97.34416262303385,318.61578993025455,195.86558483267908,195.8662509600657,11.864933408373998,11.864933408373998,11.864933408373998,11.864933408373998,11.864933408373998,11.864933408373998,0.0,0.0,0.0,207.730862123301
2025-04-30,196.10773857553312,92.90199189829028,309.5532110418825,196.10735448482927,196.10809331648028,2.7017638338528913,2.7017638338528913,2.7017638338528913,2.7017638338528913,2.7017638338528913,2.7017638338528913,0.0,0.0,0.0,198.809502409386
2025-05-01,196.34954843613926,99.70494501406546,312.96021366628287,196.34913301198387,196.34993544086308,14.951331834022762,14.951331834022762,14.951331834022762,14.951331834022762,14.951331834022762,14.951331834022762,0.0,0.0,0.0,211.30088027016203
2025-05-02,196.5913582967454,94.00616437756271,312.27350852353777,196.59090951469477,196.59178542561486,9.4887206096132,9.4887206096132,9.4887206096132,9.4887206096132,9.4887206096132,9.4887206096132,0.0,0.0,0.0,206.0800789063586
2025-05-03,196.8331681573515,38.54554871956062,263.2481714474356,196.83268909743077,196.83365240536833,-48.716243679245814,-48.716243679245814,-48.716243679245814,-48.716243679245814,-48.716243679245814,-48.716243679245814,0.0,0.0,0.0,148.1169244781057
2025-05-04,197.07497801795762,52.55128680949336,279.055940041552,197.0744659754696,197.0755067016716,-27.22126598721885,-27.22126598721885,-27.22126598721885,-27.22126598721885,-27.22126598721885,-27.22126598721885,0.0,0.0,0.0,169.85371203073876
2025-05-05,197.31678787856376,126.50417914040547,346.29469969810697,197.3162342250845,197.3173593248357,36.93075998059997,36.93075998059997,36.93075998059997,36.93075998059997,36.93075998059997,36.93075998059997,0.0,0.0,0.0,234.24754785916372
2025-05-06,197.55859773916987,102.48505217387054,319.669630739926,197.55800043359048,197.5592098505309,11.864933408340574,11.864933408340574,11.864933408340574,11.864933408340574,11.864933408340574,11.864933408340574,0.0,0.0,0.0,209.42353114751043
2025-05-07,197.80040759977598,91.81980280190318,312.32638512849593,197.79977556461628,197.80106467078014,2.701763833861466,2.701763833861466,2.701763833861466,2.701763833861466,2.701763833861466,2.701763833861466,0.0,0.0,0.0,200.50217143363744
2025-05-08,198.0422174603821,96.06343692552858,326.4405139746299,198.0415436678581,198.04291961553722,14.951331833956646,14.951331833956646,14.951331833956646,14.951331833956646,14.951331833956646,14.951331833956646,0.0,0.0,0.0,212.99354929433875
2025-05-09,198.2840273209882,96.09837241301327,315.2955799283424,198.28330442231322,198.28476895650107,9.488720609606872,9.488720609606872,9.488720609606872,9.488720609606872,9.488720609606872,9.488720609606872,0.0,0.0,0.0,207.77274793059507
