Код клиента,Общая выручка,Общая прибыль,Количество заказов,Последняя покупка,Средняя прибыль на заказ,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment,Кумулятивная прибыль,Процент кумулятивной прибыли,ABC,CV,XYZ
8721558.0,1712.34,185.18,18,2025-04-10 18:51:32,10.287777777777778,102,18,185.18,2,4,4,10,Чемпионы,29582.67,0.5630861263190072,C,0.5446908617126166,Z
6377041.0,972.96,183.26000000000005,12,2025-04-27 10:04:53,15.27166666666667,85,12,183.26000000000005,2,4,4,10,Чемпионы,29765.929999999997,0.5665743565399177,C,0.6455472658066916,Z
8629676.0,2654.68,182.10999999999996,14,2025-07-08 14:10:11,13.007857142857139,13,14,182.10999999999996,4,4,4,12,Чемпионы,29948.039999999997,0.5700406972881988,C,0.7160192182910625,Z
9476004.0,980.0600000000001,181.63000000000002,20,2025-06-29 22:57:18,9.081500000000002,21,20,181.63000000000002,4,4,4,12,Чемпионы,30129.67,0.5734979015609478,C,0.8914616537322799,Z
6251048.0,1027.98,177.82000000000002,28,2025-05-24 11:43:56,6.350714285714287,58,28,177.82000000000002,3,4,4,11,Чемпионы,30307.489999999998,0.5768825850591596,C,0.8777684756908956,Z
5154877.0,1307.13,176.92999999999998,35,2025-07-20 17:57:40,5.055142857142856,1,35,176.92999999999998,4,4,4,12,Чемпионы,30484.42,0.5802503280089888,C,0.8642539585926897,Z
7568596.0,1718.67,176.79999999999998,34,2025-07-11 18:19:09,5.199999999999999,10,34,176.79999999999998,4,4,4,12,Чемпионы,30661.219999999998,0.5836155964966946,C,0.9318724917257206,Z
9710808.0,1263.5,176.10000000000002,26,2025-06-23 15:57:09,6.773076923076924,28,26,176.10000000000002,3,4,4,11,Чемпионы,30837.319999999996,0.5869675409575825,C,0.7928222243686673,Z
9985085.0,1306.3799999999999,170.31000000000003,18,2025-07-09 17:30:56,9.461666666666668,12,18,170.31000000000003,4,4,4,12,Чемпионы,31007.629999999997,0.590209276682363,C,1.3295463373278802,Z
7211030.0,1281.47,168.73999999999998,22,2025-06-02 11:02:58,7.669999999999999,49,22,168.73999999999998,3,4,4,11,Чемпионы,31176.37,0.5934211285184234,C,0.789939110788142,Z
